StepId,Workstream,Description,CorpStartDate,CorpEndDate,CorpStatus,CorpCompletedDate,FedStartDate,FedEndDate,FedStatus,SetupValidation,EngineeringDependent,WWIC_POC,Fed_POC,EngineeringDRI,EngineeringLead,ADOLink,ReferenceNotes
"12.G","ICBM Rollover","Payout module module available for end users","2026-07-15","2026-07-21","Not Started","","","","Not Started","","Y","Jim R","","Shankar Kshetry","Pragya Dubey","",""
"12.H","ICBM Rollover","Recoveries module module available for end users - should be after payouts","2026-07-15","2026-07-28","Not Started","","","","Not Started","","Y","Jim R","","Shankar Kshetry","Pragya Dubey","End of Week",""
"12.I","ICBM Rollover","Fact Level Adjustment module available for end users","2026-07-15","2026-07-28","Not Started","","","","Not Started","","Y","Jim R","","Shankar Kshetry","Pragya Dubey","ICBM work done - MintStudio work remaining",""
"12.J","ICBM Rollover","Particpant Adjustment module available for end users","2026-07-15","2026-07-28","Not Started","","","","Not Started","","Y","Jim R","","Shankar Kshetry","Pragya Dubey","ICBM work done - MintStudio work remaining",""
"13.A","MSX Earnings Rollover","Knowledge Platform - ingest new content, retire old content","2026-06-22","2026-06-23","Not Started","","","","","","","","","","Jacob Thomas","",""
"13.B","MSX Earnings Rollover","Test content","2026-06-24","2026-06-26","Not Started","","","","","","","","","","Jacob Thomas","",""
"13.C","MSX Earnings Rollover","Enable content","2026-07-01","2026-07-01","Not Started","","","","","","","","","","Jacob Thomas","",""
"13.D","MSX Earnings Rollover","Enable plans to test","","2026-07-16","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.E","MSX Earnings Rollover","PPA Testing","","2026-07-20","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.F","MSX Earnings Rollover","PPA release","","","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.G","MSX Earnings Rollover","QA testing - eng. validations before business testing","2026-07-21","","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.H","MSX Earnings Rollover","QA business testing after ML #3","2026-07-28","2026-07-30","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.I","MSX Earnings Rollover","QA/TA release","2026-08-07","2026-08-07","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.J","MSX Earnings Rollover","Revenue release testing","","","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"13.K","MSX Earnings Rollover","Revenue release","","","Not Started","","","","","","","","","","Jacob Thomas","",""
"13.L","MSX Earnings Rollover","Review My Change History reason codes","","","Not Started","","","","","","","","","","Jacob Thomas","",""
"13.M","MSX Earnings Rollover","Enable My Change History page","","","Not Started","","","","Not Started","","","Clayton Butler","Angela Dill","","Jacob Thomas","",""
"14.A","Payline Modeling","Plan Launch with Paylines","2026-06-11","2026-07-01","Not Started","","","","Not Started","","","Aziz?","Hailey Kim","","","",""
"14.B","Payline Modeling","Workers Council Review #1","2026-06-24","2026-06-24","Not Started","","","","Not Started","","","Gleidy","NA","","","",""
"14.C","Payline Modeling","Workers Council Review #2","2026-06-29","2026-06-29","Not Started","","","","Not Started","","","Gleidy","NA","","","",""
"14.D","Payline Modeling","Payline Modeling & Assignment to Plans","","","Not Started","","","","Not Started","","","Aziz?","Hailey Kim","","","",""
"14.E","Payline Modeling","MSC Close Date","","","Not Started","","","","Not Started","","","","","","","",""
"15.A","PPA/QA","Setup the PPA/QA infrastructure in ICBM","2026-07-14","2026-07-14","Completed","","","","Not Started","","Depends on Freeze period date","","","","Pragya Dubey","",""
"15.B","PPA/QA","Ensure that DataPull Compliance & DataPush Compliance activities are ready","2026-07-15","2026-07-21","Not Started","","","","Not Started","","","","","","Pragya Dubey","",""
